cell_type,image_url,set_number
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_0_0.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_0_1.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_0_2.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_0_3.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_1_0.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_1_1.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_1_2.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_1_3.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_2_0.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_2_1.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_2_2.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_2_3.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_3_0.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_3_1.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_3_2.png,set1
MouseBrain,https://storage.googleapis.com/daves-new-bucket/data/nuclear/MouseBrain/set1/Montage/montage_3_3.png,set1
