frame_number,horizontal_quadrant,image_url,vertical_quadrant
0,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_0_quad_0_0.png,0
0,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_0_quad_0_1.png,1
0,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_0_quad_1_0.png,0
0,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_0_quad_1_1.png,1
1,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_1_quad_0_0.png,0
1,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_1_quad_0_1.png,1
1,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_1_quad_1_0.png,0
1,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_1_quad_1_1.png,1
2,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_2_quad_0_0.png,0
2,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_2_quad_0_1.png,1
2,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_2_quad_1_0.png,0
2,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_2_quad_1_1.png,1
3,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_3_quad_0_0.png,0
3,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_3_quad_0_1.png,1
3,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_3_quad_1_0.png,0
3,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_3_quad_1_1.png,1
4,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_4_quad_0_0.png,0
4,0,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_4_quad_0_1.png,1
4,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_4_quad_1_0.png,0
4,1,https://s3-us-west-1.amazonaws.com/daves-amazons3-bucket/data/cytoplasm/hela/set3/phase_4_quad_1_1.png,1
